Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
"there are N delta d i , i = 0, . . . , N − 1 corresponding to each pose x i , i = 0, . . . , N − 1",own_claim,n delta d = 0 n − 1 corresponding pose x = 0 n − 1,n delta delta d d = = 0 0 n n − − 1 1 corresponding corresponding pose pose x x = = 0 0 n n − − 1,n delta d delta d = d = 0 = 0 n 0 n − n − 1 − 1 corresponding 1 corresponding pose corresponding pose x pose x = x = 0 = 0 n 0 n − n − 1,0,0,,
SSD as the underlying skinning,own_claim,ssd underlying skinning,ssd underlying underlying skinning,ssd underlying skinning,0,0,,
an explicit form of basic skinning can help to simplify our task of explanation,own_claim,explicit form basic skinning help simplify task explanation,explicit form form basic basic skinning skinning help help simplify simplify task task explanation,explicit form basic form basic skinning basic skinning help skinning help simplify help simplify task simplify task explanation,0,0,can,
"in the rest pose, we didn’t generate any movement for v",data,rest pose generate movement v,rest pose pose generate generate movement movement v,rest pose generate pose generate movement generate movement v,0,0,,n’t
"d 1 = [d 1x , d 1y ] = [0, 0]",own_claim,d 1 = d 1x d 1y = 0 0,d 1 1 = = d d 1x 1x d d 1y 1y = = 0 0 0,d 1 = 1 = d = d 1x d 1x d 1x d 1y d 1y = 1y = 0 = 0 0,0,0,,
by solving above equation,data,solving equation,solving equation,,0,0,,
i = j,data,= j,= j,,0,0,,
φ i −1 j = 1,own_claim,φ −1 j = 1,φ −1 −1 j j = = 1,φ −1 j −1 j = j = 1,0,0,,
"this angle α p is a constant and depends only on the value of delta in the second pose d 2 = [d 2x , d 2y ]",own_claim,angle α p constant depends value delta second pose d 2 = d 2x d 2y,angle α α p p constant constant depends depends value value delta delta second second pose pose d d 2 2 = = d d 2x 2x d d 2y,angle α p α p constant p constant depends constant depends value depends value delta value delta second delta second pose second pose d pose d 2 d 2 = 2 = d = d 2x d 2x d 2x d 2y,0,0,,
tan α p = d d x y = ω ω 1x 1y φ φ (x (x − − x x 1 1 ) ) + + ω ω 2y 2x φ φ (x (x − − x x 2 2 ) ) = φ φ 12 12 −1 −1 d d 2x 2y φ φ (x (x − − x x 1 1 ) ) + + d d 2x 2y φ φ (x (x − − x x 2 2 ) ) = d 2y d 2x,own_claim,tan α p = d d x y = ω ω 1x 1y φ φ x x − − x x 1 1 + + ω ω 2y 2x φ φ x x − − x x 2 2 = φ φ 12 12 −1 −1 d d 2x 2y φ φ x x − − x x 1 1 + + d d 2x 2y φ φ x x − − x x 2 2 = d 2y d 2x,tan α α p p = = d d d d x x y y = = ω ω ω ω 1x 1x 1y 1y φ φ φ φ x x x x − − − − x x x x 1 1 1 1 + + + + ω ω ω ω 2y 2y 2x 2x φ φ φ φ x x x x − − − − x x x x 2 2 2 2 = = φ φ φ φ 12 12 12 12 −1 −1 −1 −1 d d d d 2x 2x 2y 2y φ φ φ φ x x x x − − − − x x x x 1 1 1 1 + + + + d d d d 2x 2x 2y 2y φ φ φ φ x x x x − − − − x x x x 2 2 2 2 = = d d 2y 2y d d 2x,tan α p α p = p = d = d d d d x d x y x y = y = ω = ω ω ω ω 1x ω 1x 1y 1x 1y φ 1y φ φ φ φ x φ x x x x − x − − − − x − x x x x 1 x 1 1 1 1 + 1 + + + + ω + ω ω ω ω 2y ω 2y 2x 2y 2x φ 2x φ φ φ φ x φ x x x x − x − − − − x − x x x x 2 x 2 2 2 2 = 2 = φ = φ φ φ φ 12 φ 12 12 12 12 −1 12 −1 −1 −1 −1 d −1 d d d d 2x d 2x 2y 2x 2y φ 2y φ φ φ φ x φ x x x x − x − − − − x − x x x x 1 x 1 1 1 1 + 1 + + + + d + d d d d 2x d 2x 2y 2x 2y φ 2y φ φ φ φ x φ x x x x − x − − − − x − x x x x 2 x 2 2 2 2 = 2 = d = d 2y d 2y d 2y d 2x,0,0,,
